mart,mart_code,sale_date,lot,auction_id,breed,sex,age_months,weight,price,price_per_kg,icbf_stars,status,scraped_date,val_code
LSL Auctions,M186,2026-03-26,515,627871,HEX,F,22.9,680.0,2420.0,3.5588,4.0,Lot Sold,2026-03-27,M186-627871
LSL Auctions,M186,2026-03-26,516,627872,HEX,F,23.7,650.0,2310.0,3.5538,4.0,Lot Sold,2026-03-27,M186-627872
LSL Auctions,M186,2026-03-26,517,627873,HEX,F,23.7,710.0,2580.0,3.6338,4.0,Lot Sold,2026-03-27,M186-627873
LSL Auctions,M186,2026-03-26,518,627874,HEX,F,22.9,700.0,2500.0,3.5714,4.0,Lot Sold,2026-03-27,M186-627874
LSL Auctions,M186,2026-03-26,519,627875,HEX,F,24.0,585.0,2150.0,3.6752,4.0,Lot Sold,2026-03-27,M186-627875
LSL Auctions,M186,2026-03-26,520,628087,AAX,F,20.6,580.0,2150.0,3.7069,4.0,Lot Sold,2026-03-27,M186-628087
LSL Auctions,M186,2026-03-26,520A,628088,AAX,F,21.3,605.0,2120.0,3.5041,4.0,Lot Sold,2026-03-27,M186-628088
LSL Auctions,M186,2026-03-26,521,627818,BBX,F,25.3,605.0,2210.0,3.6529,4.0,Lot Sold,2026-03-27,M186-627818
LSL Auctions,M186,2026-03-26,522,627819,CHX,F,24.5,615.0,2480.0,4.0325,4.0,Lot Sold,2026-03-27,M186-627819
LSL Auctions,M186,2026-03-26,523,627820,CH,F,24.6,590.0,2530.0,4.2881,4.0,Lot Sold,2026-03-27,M186-627820
LSL Auctions,M186,2026-03-26,524,627821,CHX,F,24.1,580.0,2400.0,4.1379,4.0,Lot Sold,2026-03-27,M186-627821
LSL Auctions,M186,2026-03-26,525,627947,CHX,F,23.4,605.0,2470.0,4.0826,4.0,Lot Sold,2026-03-27,M186-627947
LSL Auctions,M186,2026-03-26,526,627948,CHX,F,23.4,575.0,2420.0,4.2087,4.0,Lot Sold,2026-03-27,M186-627948
LSL Auctions,M186,2026-03-26,527,627949,CHX,F,25.4,685.0,2690.0,3.927,4.0,Lot Sold,2026-03-27,M186-627949
LSL Auctions,M186,2026-03-26,528,627950,CHX,F,24.5,660.0,2820.0,4.2727,4.0,Lot Sold,2026-03-27,M186-627950
LSL Auctions,M186,2026-03-26,529,628050,LMX,F,29.0,620.0,2250.0,3.629,4.0,Lot Sold,2026-03-27,M186-628050
LSL Auctions,M186,2026-03-26,530,628051,LMX,F,28.9,610.0,2450.0,4.0164,4.0,Lot Sold,2026-03-27,M186-628051
